GeneID	padj	pvalue	lfcSE	log2FoldChange	Symbol	EnsemblGeneID
105370503	0.00000822	5.55e-10	0.1869	-1.1590708	LINC02331	ENSG00000235269
3429	0.00072221	9.75e-08	0.4077	2.1735327	IFI27	ENSG00000165949
56131	0.00169043	3.42e-07	0.2754	-1.4040936	PCDHB4	ENSG00000081818
169044	0.00446157	1.36e-06	0.4117	1.9890759	COL22A1	ENSG00000169436
376267	0.00446157	1.51e-06	0.21	-1.010274	RAB15	ENSG00000139998
2919	0.00561424	2.27e-06	0.2708	1.2802545	CXCL1	ENSG00000163739
1294	0.00564596	2.67e-06	0.3193	1.4988348	COL7A1	ENSG00000114270
79679	0.01863569	1.26e-05	0.1541	-0.6730349	VTCN1	ENSG00000134258
54986	0.01863569	1.10e-05	0.3608	1.5866231	ULK4	ENSG00000168038
107986991	0.01863569	1.14e-05	0.2353	-1.033005	LOC107986991	
11213	0.02045103	1.52e-05	0.182	0.7872312	IRAK3	ENSG00000090376
79634	0.02646422	2.14e-05	0.0955	-0.4058675	SCRN3	ENSG00000144306
1298	0.02883696	2.53e-05	0.4553	1.9176742	COL9A2	ENSG00000049089
54626	0.03524148	4.07e-05	0.2223	0.9120721	HES2	ENSG00000069812
23129	0.03524148	3.79e-05	0.5937	2.4462933	PLXND1	ENSG00000004399
6374	0.03524148	4.79e-05	0.6328	2.5727872	CXCL5	ENSG00000163735
1673	0.03524148	5.00e-05	0.5228	2.1203345	DEFB4A	ENSG00000171711
107987072	0.03524148	4.76e-05	0.2922	-1.1882987	LOC107987072	
744	0.03524148	4.94e-05	0.2979	-1.2090017	MPPED2	ENSG00000066382
144501	0.03524148	4.98e-05	0.2869	1.1636146	KRT80	ENSG00000167767
84419	0.03524148	4.83e-05	0.2616	1.0630403	C15orf48	ENSG00000166920
8436	0.03568337	5.78e-05	0.2	-0.8042514	CAVIN2	ENSG00000168497
2743	0.03568337	5.40e-05	0.1555	-0.627655	GLRB	ENSG00000109738
10052	0.03568337	5.63e-05	0.6853	2.7604718	GJC1	ENSG00000182963
5578	0.03969388	6.70e-05	0.238	-0.9486983	PRKCA	ENSG00000154229
1889	0.04109762	7.49e-05	0.1599	0.6334003	ECE1	ENSG00000117298
9071	0.04109762	7.47e-05	0.3765	1.4911172	CLDN10	ENSG00000134873
55350	0.04440662	8.92e-05	0.4935	1.9335775	VNN3P	ENSG00000093134
4257	0.04440662	8.65e-05	0.1036	-0.40688	MGST1	ENSG00000008394
4323	0.04440662	9.00e-05	0.1809	0.7082468	MMP14	ENSG00000157227
2760	0.04485389	9.39e-05	0.1094	0.4274193	GM2A	ENSG00000196743
80149	0.04925886	1.06e-04	0.399	1.5464348	ZC3H12A	ENSG00000163874
1307	0.04984724	1.11e-04	0.4514	1.7445503	COL16A1	ENSG00000084636
3339	0.05694526	1.31e-04	0.3642	1.3932156	HSPG2	ENSG00000142798
5295	0.0727003	1.75e-04	0.1847	-0.6930158	PIK3R1	ENSG00000145675
113146	0.0727003	1.77e-04	0.2363	0.8861177	AHNAK2	ENSG00000185567
9975	0.08712649	2.27e-04	0.171	-0.6302304	NR1D2	ENSG00000174738
4600	0.08712649	2.29e-04	0.3725	1.3723042	MX2	ENSG00000183486
5935	0.08712649	2.19e-04	0.4303	1.590495	RBM3	ENSG00000102317
4330	0.09555978	2.58e-04	0.4222	1.5426277	MN1	ENSG00000169184
116931	0.10191234	2.89e-04	0.4834	-1.7522643	MED12L	ENSG00000144893
