GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
102723539	0.125	0.0000239	0.2507	4.224718	1.0589408	21.84	LOC102723539	
107984634	0.125	0.0000124	0.2914	-4.37091	-1.2737688	19.38	LOC107984634	uncharacterized LOC107984634
80726	0.125	0.0000166	0.2346	4.305669	1.0102541	63.27	IQCN	IQ motif containing N
112268304	0.125	0.0000192	0.3427	4.274007	1.4646543	23.64	LOC112268304	
102466747	0.136	0.0000474	0.1753	4.06833	0.713267	30.28	MIR6840	microRNA 6840
57571	0.136	0.0000521	0.164	4.046036	0.6634161	130.11	CARNS1	carnosine synthase 1
23428	0.136	0.000043	0.4098	4.090525	1.6764102	30.34	SLC7A8	solute carrier family 7 member 8
101928572	0.136	0.0000458	0.3125	4.076255	1.2737212	31.21	LOC101928572	uncharacterized LOC101928572
102466751	0.145	0.0001664	0.2176	3.765198	0.8194862	13.44	MIR6859-1	microRNA 6859-1
101927441	0.145	0.0002289	0.211	3.684822	0.7773292	182.74	EFHD2-AS1	EFHD2 antisense RNA 1
1298	0.145	0.0002421	0.2162	3.670467	0.7933806	140.23	COL9A2	collagen type IX alpha 2 chain
91181	0.145	0.0000951	0.1952	-3.902651	-0.7618381	77.98	NUP210L	nucleoporin 210 like
105374570	0.145	0.0000964	0.1627	3.899518	0.6345441	132.61	LOC105374570	uncharacterized LOC105374570
100127955	0.145	0.0001547	0.255	3.783347	0.9646777	42.24	LOC100127955	uncharacterized LOC100127955
101752399	0.145	0.0002367	0.0941	3.676237	0.3458917	1252.16	STAG3L5P-PVRIG2P-PILRB	STAG3L5P-PVRIG2P-PILRB readthrough
100189177	0.145	0.000116	0.2418	3.854342	0.9321501	15.7	TRC-GCA19-1	tRNA-Cys (anticodon GCA) 19-1
1669	0.145	0.0001831	0.5539	3.741254	2.0721442	264.72	DEFA4	defensin alpha 4
1667	0.145	0.0000977	0.5508	3.896144	2.1460399	4270.83	DEFA1	defensin alpha 1
728358	0.145	0.0001202	0.5495	3.845629	2.1132146	3271.3	DEFA1B	defensin alpha 1B
105375798	0.145	0.0002338	0.2301	3.679332	0.8467928	8.23	LOC105375798	uncharacterized LOC105375798
25956	0.145	0.0001704	0.1629	3.759323	0.6124974	216.25	SEC31B	SEC31 homolog B, COPII coat complex component
105378560	0.145	0.0000752	0.2092	3.959143	0.8284066	60.87	LOC105378560	uncharacterized LOC105378560
7352	0.145	0.0002345	0.1229	3.67858	0.4519196	59.87	UCP3	uncoupling protein 3
390660	0.145	0.0001991	0.3811	3.720099	1.417857	33.31	ADAMTS7P1	ADAMTS7 pseudogene 1
197342	0.145	0.0002134	0.1217	3.702634	0.4505422	150.71	EME2	essential meiotic structure-specific endonuclease subunit 2
105371056	0.145	0.0002306	0.2487	3.682848	0.9157717	39.92	LOC105371056	
105371498	0.145	0.0002401	0.4832	3.672558	1.7745399	21.21	LOC105371498	uncharacterized LOC105371498
5187	0.145	0.0001429	0.2732	3.80311	1.0388503	208.49	PER1	period circadian regulator 1
100189393	0.145	0.000072	0.1471	3.969677	0.583885	28.15	TRI-AAT4-1	tRNA-Ile (anticodon AAT) 4-1
146850	0.145	0.0001508	0.2643	3.789791	1.0017121	238.65	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6
9423	0.145	0.0002385	0.2478	3.674302	0.9105632	14.77	NTN1	netrin 1
6368	0.145	0.0001792	0.5017	3.746694	1.879582	16.39	CCL23	C-C motif chemokine ligand 23
59283	0.145	0.0001451	0.4415	3.799346	1.6775499	28.64	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8
391267	0.145	0.0001547	0.4049	3.783473	1.5317788	20.28	ANKRD20A11P	ankyrin repeat domain 20 family member A11, pseudogene
